BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
24 64.1634 61.4819 40.2301 3.07647 171 192.099 3.69873 195.797 4.99689 4.99689 69.4383 64020.3 1.77566 0.644365 5.30772 0.104923 2559 46.1807 0.139222 46.3199 935.268 943.516 48.4629 0.957086 2564 189.346 828.567 1017.91 186.429 -0.144542 -0.0476152 0.671879 0.0557965 145 5.63474 -5.63593 -0.00118541 15.4572 0.707758 0.813875 0.590657 1.70293 0.130226 171 16.9653 0.0823653 17.0477 54.4946 40.285 103.343 7.90284 171 957.629 0.550964 958.18
44 74.3867 59.9498 56.7504 4.64918 149 193.998 3.72552 197.723 4.99689 4.99689 55.7348 22072.5 1.26935 0.540652 3.8717 0.130219 884 36.7385 0.162529 36.901 904.438 897.377 43.3149 1.45684 884 185.862 827.717 1013.58 202.295 -0.10291 -0.0228122 0.562542 0.0531553 112 5.38801 -5.3884 -0.00039859 12.7586 0.462199 0.522273 0.456362 0.172843 0.0141598 149 0.853593 0.0801765 0.933769 41.2578 27.638 36.5695 2.99589 149 144.606 0.605591 145.211
45 118.194 131.102 56.9765 4.69934 147 201.524 3.80082 205.325 4.99701 4.99701 121.669 72884.3 1.35207 0.585707 4.17974 0.0773628 2919 38.9613 0.0257554 38.9871 855.071 851.149 37.9727 0.702836 2919 171.104 785.633 956.737 201.597 -0.170756 -0.0376496 0.876841 0.0754665 135 7.53101 -7.53227 -0.00126268 33.6374 0.493674 0.624177 0.534603 1.25252 0.103306 147 15.7955 -0.108693 15.6868 70.0194 68.3216 80.6775 6.65417 147 957.192 -0.466858 956.725
60 99.5512 71.2564 67.9893 7.24768 88 252.966 7.55272 260.519 4.99709 4.99709 83.3975 64270 1.38608 0.596411 4.22536 0.0832836 2574 37.2124 0.0970457 37.3095 821.452 821.491 45.3547 0.89396 2574 198.735 727.984 926.719 171.179 -0.196774 -0.0350816 0.799498 0.0942217 72 4.72119 -4.72324 -0.00205109 32.6484 0.459947 0.522586 0.529853 0.114804 0.0122382 88 0.502716 0.266445 0.769161 54.946 41.9897 41.1551 4.38715 88 140.089 3.27325 143.362
61 149.063 139.738 60.3072 6.74255 80 238.25 40.8887 279.138 4.99689 4.99689 1279.2 12784.1 1.00732 0.42906 3.60717 0.159416 512 34.3309 0.191367 34.5223 876.888 878.655 31.6649 1.39941 512 136.034 812.797 948.831 222.559 -0.435708 -0.0164354 1.32946 0.171633 60 5.31436 -5.31457 -0.000211256 108.247 0.350988 0.418555 0.40594 0.0419311 0.00468803 80 0.213653 0.378861 0.592514 62.7834 56.7255 28.1312 3.14517 80 125.005 20.2674 145.272
62 80.5533 91.443 50.961 6.00581 72 167.537 3.66246 171.2 4.99689 4.99689 93.975 14382.1 1.31526 0.695957 3.92109 0.163379 576 36.5056 0.0161765 36.5217 841.565 842.642 25.5587 1.06495 576 103.108 785.807 888.916 94.7518 -0.244584 -0.0363478 0.807782 0.106067 58 5.04344 -5.04466 -0.00122785 32.8367 0.483957 0.592443 0.578628 0.186266 0.0219517 72 1.23992 0.193274 1.4332 46.7812 49.8778 29.9265 3.52687 72 88.1008 0.906128 89.0069
65 88.8763 81.375 25.7494 3.03459 72 103.555 46.3525 149.907 4.9969 4.9969 68.1093 62871.8 1.41153 0.644267 4.23461 0.084389 2518 38.5023 0.0248655 38.5271 831.343 834.442 28.7295 0.572533 2518 122.286 765.043 887.329 123.008 -0.285191 -0.0596742 1.09561 0.125675 76 7.87629 -7.90384 -0.0275544 42.2445 0.571847 0.714662 0.752674 0.128729 0.0151708 72 0.432341 0.451027 0.883367 60.9883 61.1989 11.1964 1.3195 72 49.0356 33.133 82.1686
68 56.5253 48.0865 35.2761 3.13024 127 146.643 7.58035 154.223 4.9969 4.9969 41.5435 28065.1 1.25964 0.529258 4.01945 0.11989 1124 34.4112 0.117918 34.5291 763.846 765.875 27.6635 0.825133 1124 126.586 707.333 833.919 183.99 -0.114717 -0.0430849 0.490771 0.0440726 124 4.4956 -4.49629 -0.000689217 10.8073 0.427899 0.533618 0.521084 0.139391 0.012369 127 0.699696 0.281869 0.981564 29.0245 29.89 17.8626 1.58505 127 68.3085 3.10614 71.4147
71 117.839 116.26 31.5163 3.56852 78 146.641 54.1654 200.806 27.663 27.6283 55.4927 37852.9 0.582164 0.593412 0.187371 0.00481229 1516 0.896809 0.0908517 0.987661 802.211 799.017 34.4437 0.884627 1516 136.965 739.079 876.045 206.864 -0.0595802 -0.0606842 0.0212699 0.00240834 78 0.0970158 -0.109096 -0.0120802 11.7015 0.52481 0.649354 0.686818 0.105558 0.0119521 78 0.374485 0.405435 0.77992 74.2119 78.2631 14.7399 1.66896 78 57.2458 41.7702 99.016
72 65.0797 47.4861 53.2507 5.00941 113 186.479 4.10534 190.585 4.9969 4.9969 64.8996 22996.4 1.2755 0.36677 4.10787 0.135359 921 31.5679 0.0545351 31.6224 738.451 735.531 22.1031 0.728324 921 95.543 694.883 790.426 200.475 -0.159854 -0.023492 0.619772 0.0622895 99 4.4974 -4.4977 -0.000308107 17.3387 0.268838 0.321498 0.322456 0.102448 0.00963752 113 0.667066 -0.00192954 0.665137 20.995 14.5609 18.92 1.77984 113 72.8552 -0.0150146 72.8401
