BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
8 55.1123 67.4706 28.4446 4.02268 50 87.5304 4.92369 92.4541 4.99689 4.99689 125.213 14157.4 0.631373 7.02919e-05 4.63297 0.195083 564 41.4343 6.81752e-05 41.4344 5.28883 0.0187267 62.5244 2.62578 567 747.876 0.000706667 747.876 1.33721 -0.210842 -1.00434e-07 0.879053 0.11164 62 4.65719 -4.65719 -2.879e-08 19.3666 6.17912e-05 7.56622e-05 7.46173e-05 1.52228e-05 2.15282e-06 50 0.000100845 1.29595e-05 0.000113804 0.00408654 0.00509303 0.00211408 0.000298977 50 0.00665272 0.000206978 0.00685969
11 183.214 52.4674 252.937 13.3495 359 854.512 7.49572 862.008 14.9907 15.0664 681.934 19276 0.501694 7.07106e-05 4.26553 0.15352 772 43.8202 6.90086e-05 43.8203 4.13171 0.0363934 56.7496 2.04246 772 792.408 0.00176667 792.41 0.809382 -0.0332781 -5.14727e-07 0.370689 0.0270353 188 4.92687 -4.92687 -2.86625e-08 10.1617 5.99583e-05 7.46522e-05 7.44321e-05 4.36812e-06 2.30541e-07 359 4.30345e-05 7.0766e-05 0.0001138 0.0131822 0.00403302 0.0178808 0.00094371 359 0.0607127 0.000560312 0.061273
14 60.575 77.4628 32.5614 4.47266 53 97.4509 4.99777 102.449 9.30533 8.37326 188.478 16629.3 1.61281 7.07109e-05 7.26441 0.281914 664 41.6703 6.85568e-05 41.6704 12.3429 0.02226 95.0782 3.68421 666 747.491 0.000706667 747.491 2.71056 -0.205076 -4.36738e-07 0.933808 0.0677455 190 6.78453 -6.78453 -6.10108e-08 20.7041 6.06162e-05 7.31673e-05 7.29786e-05 1.16684e-05 1.60278e-06 53 7.21529e-05 2.21232e-05 9.42761e-05 0.00440619 0.00565334 0.00238332 0.000327374 53 0.00706667 0.000353334 0.00742
75 95.8159 95.5412 66.5856 9.7125 47 195.33 6.04378 201.373 4.99689 4.99689 75.9396 15156.1 1.12702 0.293936 4.28246 0.17382 607 33.1337 0.120668 33.2543 734.641 733.536 16.1021 0.653565 607 65.1328 696.868 762.001 209.598 -0.812771 -0.00555941 1.67874 0.465599 13 5.86237 -5.86395 -0.00157941 129.794 0.211553 0.249353 0.245566 0.017069 0.00248976 47 0.0822495 0.205428 0.287678 24.3242 22.5813 17.7754 2.59281 47 53.9561 1.41071 55.3668
77 91.3592 88.0491 65.5394 9.36277 49 194.325 6.56699 200.892 4.99689 4.99689 332.2 16030.1 1.5775 0.280357 5.28793 0.208698 642 31.1299 0.150225 31.2801 734.227 736.604 17.7306 0.699769 642 72.1953 696.43 768.625 156.194 -1.63573 -0.00154382 2.2924 0.72492 10 5.85823 -5.8587 -0.000471072 249.065 0.209722 0.25031 0.247201 0.0190718 0.00272454 49 0.100156 0.196784 0.29694 22.9921 21.0085 17.0182 2.43116 49 52.3495 1.43921 53.7888
78 70.7133 70.3764 42.626 4.32801 97 164.103 6.07372 170.176 4.9969 4.9969 58.5319 43920.4 0.814945 0.297838 3.30667 0.0788421 1759 33.5059 0.0228335 33.5287 705.804 708.082 29.8109 0.710792 1759 123.516 637.043 760.559 183.543 -0.10407 -0.0115161 0.642472 0.0669824 92 5.7966 -5.79727 -0.000669434 12.2652 0.2751 0.351079 0.32727 0.0877439 0.00890905 97 0.571351 0.104546 0.675896 23.3439 22.6428 13.4991 1.37062 97 54.4521 0.810425 55.2625
79 113.126 106.317 58.5887 4.13253 201 294.637 4.25066 298.888 4.99716 4.99716 71.7771 62097.7 0.844794 0.287613 3.51412 0.0704658 2487 33.2419 0.00529433 33.2472 705.386 704.342 32.7772 0.657255 2487 128.276 636.554 764.83 201.794 -0.142737 -0.00930196 0.773758 0.0558412 192 5.87238 -5.8725 -0.000119792 26.9121 0.256815 0.320079 0.307881 0.0800491 0.00564623 201 0.529976 -5.53145e-05 0.529921 34.8629 35.1321 15.2974 1.07899 201 77.333 -0.000366211 77.3326
80 63.0351 62.435 40.0115 3.49582 131 161.734 3.56855 165.303 4.99689 4.99689 40.0223 24968.9 1.35414 0.31336 4.74967 0.150198 1000 33.3327 0.044618 33.3773 734.067 738.245 23.8611 0.754554 1000 97.1537 678.872 776.025 194.988 -0.277033 -0.01625 1.07574 0.113392 90 6.52178 -6.5219 -0.00011972 29.1047 0.256969 0.292239 0.302026 0.130488 0.0114008 131 1.53337 0.0151226 1.54849 19.4377 18.3282 13.6455 1.19222 131 53.6292 0.11438 53.7436
96 118.952 115.995 71.2105 6.04 139 319.665 7.49621 327.161 4.99689 4.99689 79.7318 23221.1 0.668077 0.311029 3.05053 0.100031 930 29.2424 0.0936533 29.336 723.777 722.792 22.4457 0.736022 930 90.2144 678.861 769.076 195.221 -0.256551 -0.0115296 1.03667 0.0983968 111 5.93087 -5.93096 -9.40305e-05 50.862 0.230695 0.269733 0.264998 0.150084 0.01273 139 1.73311 0.139224 1.87234 32.9299 32.3293 21.7227 1.84249 139 89.3288 1.49506 90.8239
99 89.7136 84.0175 55.1514 5.87916 88 195.437 4.20521 199.642 4.9969 4.9969 81.965 35455.9 1.07863 0.544568 3.40923 0.0904716 1420 33.1709 0.0209028 33.1918 743.751 743.94 27.4905 0.729522 1420 113.912 688.237 802.149 107.192 -0.128198 -0.0488185 0.507084 0.0546803 86 4.13551 -4.13587 -0.000358565 19.1686 0.41714 0.541528 0.517534 0.236353 0.0251953 88 1.61388 7.69962e-05 1.61396 44.9077 37.3205 29.6359 3.1592 88 105.508 0.000366211 105.509
106 121.013 119.578 49.8206 5.60526 79 205.724 3.98741 209.711 4.99689 4.99689 50.3887 25393.4 1.22296 0.342494 4.19465 0.131533 1017 31.3168 0.0673126 31.3841 723.71 725.277 22.6709 0.710899 1017 101.468 656.01 757.477 223.354 -0.293369 -0.00523279 1.04989 0.160107 43 4.25409 -4.25416 -6.72184e-05 59.169 0.24918 0.282112 0.287551 0.0568798 0.00639948 79 0.315919 0.0309393 0.346858 36.1849 35.7639 17.3536 1.95243 79 65.9131 0.156616 66.0697
125 67.2882 69.5025 19.3036 6.10432 10 60.9837 38.6551 99.6388 113.239 110.169 53.0804 16504.5 0.372944 0.384331 0.17214 0.00669549 661 0.759551 7.14272e-05 0.759622 694.671 691.808 14.6037 0.568018 661 56.3542 675.624 731.979 132.395 -0.0418112 -0.0394984 0.0172875 0.00332699 27 0.0676345 -0.0823578 -0.0147232 4.689 0.334346 0.415363 0.400764 0.0743194 0.0235019 10 0.259197 0.352389 0.611586 26.9971 24.7 5.86668 1.85521 10 17.1382 21.7009 38.8391
130 73.5984 32.6107 66.2203 13.2441 25 195.935 7.49849 203.434 4.9969 4.9969 156.715 13558.1 0.640456 0.495425 1.63614 0.0702136 543 22.1282 0.0365071 22.1647 740.281 740.173 26.7891 1.14963 543 112.394 688.472 800.866 97.7172 -0.122694 -0.0386956 0.435626 0.045919 90 2.4823 -2.48347 -0.00117529 15.0501 0.428413 0.625128 0.523814 0.299093 0.0598185 25 1.48403 0.0313046 1.51533 37.8366 22.0119 30.8945 6.1789 25 94.8699 0.235779 95.1057
