BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
2 220.31 224.408 8.67327 3.27819 7 24.1184 208.279 232.398 4.99689 4.99689 109.496 14756.6 1.18555 0.712864 3.20168 0.131699 591 34.292 0.252384 34.5444 834.524 834.522 46.5279 1.9139 591 177.568 746.618 924.187 246.764 -0.970025 -0.0242177 1.83765 0.649709 8 5.44326 -5.44768 -0.00441404 356.176 0.576506 0.691842 0.693459 0.00306722 0.0011593 7 0.00978208 0.685823 0.695605 152.412 154.405 5.8559 2.21332 7 16.3636 144.88 161.244
18 111.408 106.471 72.1984 7.25621 99 234.414 4.37543 238.789 4.9969 4.9969 58.3434 33283.6 2.25059 0.69711 6.30949 0.172814 1333 43.6085 0.238893 43.8474 910.93 911.763 44.1492 1.20923 1333 207.707 803.288 1010.99 240.111 -0.261245 -0.0261494 1.18713 0.131903 81 9.01094 -9.01236 -0.00141791 48.5079 0.527074 0.693329 0.652745 0.166134 0.0166971 99 0.735943 0.517355 1.2533 70.4641 76.5766 43.0481 4.3265 99 151.82 2.34375 154.163
20 91.7081 86.0423 67.6993 6.76993 100 209.038 3.5432 212.581 27.9663 28.2291 53.5793 39301.1 0.375689 0.322734 0.207981 0.00524229 1574 1.02896 0.0508253 1.07979 728.193 722.606 27.8026 0.700783 1574 121.244 680.521 801.766 235.764 -0.0214378 -0.0184345 0.0161014 0.00183492 77 0.0787518 -0.0794542 -0.000702369 3.2767 0.282559 0.316044 0.328076 0.085533 0.0085533 100 0.521328 0.0189231 0.540251 31.0955 22.5124 26.2819 2.62819 100 88.9214 0.118286 89.0397
23 89.9308 84.2316 48.9241 3.74132 171 241.878 5.07665 246.954 4.99702 4.99702 57.2809 65094 0.998274 0.619014 3.21361 0.0629395 2607 37.6677 0.0427236 37.7104 922.544 926.733 53.5666 1.04912 2607 208.774 803.776 1012.55 260.966 -0.148911 -0.0439912 0.782302 0.0622366 158 9.02968 -9.03035 -0.000670576 22.3195 0.544129 0.681203 0.667906 0.135983 0.0103989 171 0.730466 0.316127 1.04659 58.7207 55.13 28.7952 2.20202 171 140.951 2.505 143.456
25 67.2786 76.7641 51.942 5.84393 79 227.86 3.63327 231.493 4.9969 4.9969 62.5107 19026.3 1.87613 0.52833 5.96495 0.216087 762 41.4767 0.0741876 41.5509 975.171 981.762 26.0378 0.943251 762 106.545 909.453 1016 212.648 -0.248702 -0.0519354 0.956084 0.113466 71 5.73597 -5.73625 -0.000283334 27.8872 0.463005 0.755996 0.56498 0.351802 0.0395808 79 1.25335 0.302347 1.5557 37.3804 42.7199 23.8634 2.68484 79 134.872 1.87329 136.745
35 107.296 104.947 77.3346 5.59574 191 272.624 3.55128 276.175 22.5701 23.7709 54.9644 27166.2 0.4232 0.407416 0.184555 0.00559514 1088 0.783533 0.0692885 0.852822 739.93 732.911 37.9886 1.1517 1088 153.957 681.314 835.271 253.873 -0.0270525 -0.0225723 0.0212553 0.00172973 151 0.0974861 -0.097777 -0.00029092 4.83772 0.311081 0.34431 0.381582 0.106863 0.00773235 191 0.446777 0.086948 0.533725 40.0535 39.9561 32.2847 2.33604 191 122.582 0.634338 123.217
36 111.068 118.846 63.8265 5.64152 128 228.724 4.82019 233.544 4.9969 4.9969 647.93 19425.8 1.17996 0.526438 4.13924 0.148399 778 38.0319 0.179706 38.2116 970.045 968.38 28.3656 1.01695 778 114.416 909.109 1023.52 254.933 -0.194537 -0.0554316 0.796438 0.0730093 119 5.97081 -5.97102 -0.000204851 36.0114 0.434152 0.54945 0.516871 0.138704 0.0122598 128 1.1191 -0.0200413 1.09906 57.8645 59.9135 32.7837 2.8977 128 139.578 -0.121887 139.456
37 90.832 72.69 57.5076 3.49334 271 273.293 3.87362 277.166 22.5419 22.8548 50.7081 58377.4 0.578632 0.580125 0.168919 0.00349347 2338 1.01748 0.0251035 1.04258 792.597 788.372 54.3131 1.12327 2338 240.159 688.875 929.034 218.061 -0.0535865 -0.0540987 0.0241304 0.00149364 261 0.106549 -0.10669 -0.000141175 8.11228 0.500446 0.620555 0.5931 0.141051 0.00856824 271 1.19703 -0.0281752 1.16886 54.5479 42.1247 32.9887 2.00392 271 138.552 -0.216309 138.335
39 78.3566 59.0354 68.1244 4.68988 211 243.982 3.79352 247.776 279.852 283.378 36.6765 26117.5 0.48827 0.508932 0.199201 0.00615922 1046 0.840368 0.0786719 0.91904 745.565 747.561 41.3915 1.27981 1046 157.103 677.419 834.522 262.856 -0.0399853 -0.036016 0.0246068 0.00178988 189 0.107868 -0.10882 -0.000952023 5.22185 0.43849 0.517207 0.526582 0.168794 0.0116203 211 0.966151 0.157036 1.12319 41.2303 34.0268 35.3946 2.43666 211 113.952 0.775696 114.728
41 134.099 123.706 71.8499 7.29525 97 256.249 10.3383 266.588 17.8582 19.0437 113.015 13907.7 0.237254 0.194297 0.14898 0.00631251 557 0.806329 0.0609679 0.867297 699.698 698.391 13.8274 0.585887 557 74.69 674.815 749.505 250.974 -0.0234286 -0.012786 0.0246236 0.00278808 78 0.103721 -0.103781 -6.07995e-05 5.23625 0.16833 0.217569 0.19014 0.0787707 0.00799795 97 0.446938 0.16128 0.608217 27.0874 23.4621 15.6178 1.58575 97 65.8088 4.92975 70.7386
