BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
71 174.592 170.833 94.487 1.39709 4574 490.852 3.53857 494.391 4.99694 4.99694 79.7654 2.36221e+06 0.495967 0.403401 1.09731 0.00356756 94606 26.1607 0.000467612 26.1612 558.045 519.807 145.045 0.471566 94606 678.877 340.191 1019.07 79.15 -0.036513 -0.017083 0.19437 0.00310131 3928 4.97152 -4.97155 -2.80483e-05 10.6248 0.344541 0.407696 0.39343 0.14992 0.00221673 4574 1.60591 -0.0375808 1.56833 72.1849 66.5585 44.9473 0.664592 4574 218.841 -0.146027 218.695
120 136.806 117.54 99.6154 2.16147 2124 441.51 3.53724 445.047 4.99693 4.99693 64.6827 803400 0.364665 0.306267 1.02124 0.00569325 32176 33.8313 0.00179685 33.8331 699.606 698.883 45.9847 0.256358 32176 194.141 623.353 817.494 197.929 -0.0348568 -0.0184133 0.253383 0.00547608 2141 6.32301 -6.32304 -3.30021e-05 7.94768 0.248824 0.331213 0.302426 0.131884 0.00286164 2124 1.79473 -0.0610686 1.73366 40.8488 37.0804 28.1182 0.610113 2124 134.935 -0.269775 134.666
251 101.924 78.4633 77.4024 1.9952 1505 322.848 3.88844 326.737 35.4538 35.1338 57.268 514285 0.417343 0.427694 0.189665 0.00132156 20597 1.11745 5.25572e-05 1.11751 691.413 687.722 44.8436 0.312463 20597 180.042 623.353 803.395 95.6416 -0.035759 -0.0337995 0.0199371 0.000456429 1908 0.101065 -0.1012 -0.000135217 6.07453 0.346474 0.429397 0.422305 0.131647 0.00339346 1505 1.36441 -0.0520064 1.31241 42.377 32.1636 32.2771 0.832006 1505 129.29 -0.269775 129.02
275 166.657 164.697 100.745 1.38974 5255 495.818 3.57301 499.391 28.268 29.3636 62.6541 2.10021e+06 0.431947 0.396994 0.224702 0.000774774 84113 2.31866 0.00376637 2.32242 832.053 830.526 82.1575 0.28328 84113 411.06 623.736 1034.8 285.239 -0.035511 -0.031606 0.0245042 0.000360942 4609 0.208953 -0.208977 -2.39106e-05 9.86356 0.317875 0.387201 0.372338 0.140114 0.00193284 5255 1.34731 0.000380408 1.34769 63.5711 58.2774 43.6299 0.601863 5255 214.329 0.00231934 214.331
337 135.298 130.716 86.7816 1.09456 6286 476.773 3.53511 480.308 35.5138 35.4388 59.4088 3.15857e+06 0.422536 0.421278 0.214425 0.000602879 126500 2.01565 5.09529e-05 2.0157 726.389 708.423 79.3121 0.222995 126500 503.773 517.061 1020.83 136.709 -0.0374293 -0.0345437 0.0220676 0.000262024 7093 0.156295 -0.156329 -3.40482e-05 8.4402 0.333231 0.416336 0.397959 0.161731 0.00203989 6286 1.79349 -0.195536 1.59795 54.1027 45.4837 41.1338 0.518814 6286 228.388 -0.698181 227.69
394 132.285 109.192 104.239 1.95807 2834 432.129 3.53522 435.664 28.2268 19.4674 50.0422 693287 0.283 0.272969 0.110648 0.000664029 27766 0.915624 0.00215708 0.917781 803.012 806.82 72.0489 0.432385 27766 333.887 610.856 944.744 31.8372 -0.019542 -0.017867 0.0128356 0.000254684 2540 0.108814 -0.108882 -6.74594e-05 4.30853 0.198824 0.259304 0.243719 0.0884028 0.0016606 2834 1.09544 0.0048907 1.10033 31.5617 27.2516 24.0014 0.450854 2834 101.651 0.0294189 101.68
415 142.209 133.055 95.7916 1.45692 4323 539.99 3.53807 543.528 17.9268 18.5334 69.8628 1.6255e+06 0.559661 0.52827 0.422368 0.00165538 65101 9.73457 5.20812e-05 9.73463 677.015 668.538 186.024 0.729082 65101 687.067 340.191 1027.26 20.3923 -0.0583287 -0.0387366 0.130405 0.00206992 3969 1.8201 -1.8202 -0.000105029 13.8248 0.422944 0.552797 0.529617 0.213768 0.00325125 4323 2.72046 -0.0904618 2.63 72.1758 63.0888 50.7982 0.772602 4323 284.149 -0.68927 283.46
532 167.944 165.981 95.3682 1.00421 9019 555.675 3.53525 559.211 22.4299 21.1093 70.4787 4.44714e+06 0.489493 0.479838 0.21365 0.000506247 178107 2.14512 0.00185583 2.14698 723.43 725.478 127.634 0.30243 178107 687.296 333.209 1020.51 94.1317 -0.0414202 -0.038546 0.0246273 0.000268673 8402 0.219105 -0.219128 -2.38055e-05 11.5938 0.354017 0.450505 0.435017 0.15309 0.00161201 9019 1.80701 -0.138807 1.6682 71.3461 65.2172 43.1498 0.45436 9019 404.938 -0.676086 404.262
543 152.707 123.108 124.125 3.05206 1654 533.127 3.53464 536.661 22.4246 22.4731 63.3387 384322 0.333738 0.299262 0.154908 0.00124861 15392 0.959457 0.00493528 0.964392 845.443 832.068 83.2748 0.671222 15392 383.962 671.773 1055.73 340.711 -0.0248118 -0.0197046 0.0191059 0.000522323 1338 0.10952 -0.10954 -1.98057e-05 6.3149 0.235627 0.310537 0.281569 0.119535 0.00293918 1654 1.12431 0.0235735 1.14789 43.1783 33.0109 35.1456 0.864177 1654 186.681 0.122009 186.803
563 151.755 147.852 111.32 2.60367 1828 541.373 3.54369 544.916 68424.5 73876.4 51.9426 463973 0.311638 0.276332 0.155238 0.00113881 18582 1.27825 0.00257759 1.28083 874.22 880.078 86.4851 0.634447 18582 394.556 672.032 1066.59 2.30638 -0.0266363 -0.0224324 0.0200167 0.000499949 1603 0.125595 -0.125635 -4.01551e-05 6.737 0.229118 0.295173 0.273305 0.125443 0.00293398 1828 1.41418 -0.165878 1.2483 41.7239 33.6804 33.8934 0.792733 1828 182.308 -1.0755 181.233
