BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
2 72.2798 62.8616 48.4477 4.40434 121 157.681 7.49716 165.179 4.9969 4.9969 55.9067 36379.7 1.50132 0.552161 4.42303 0.115955 1455 28.9015 0.0501371 28.9516 744.438 749.561 27.4003 0.717837 1457 115.174 678.014 793.188 206.783 -0.173344 -0.037179 0.722625 0.0685886 111 4.63245 -4.63287 -0.000418396 20.8822 0.383225 0.52828 0.51623 0.16516 0.0150146 121 0.641352 0.236114 0.877466 33.2393 30.6894 19.8341 1.8031 121 80.7725 3.35364 84.1262
20 60.7497 52.4627 45.5585 3.69528 152 192.04 4.15194 196.192 4.99698 4.99698 43.5892 60324.9 1.21118 0.470246 3.90933 0.0795342 2416 32.7656 7.53365e-05 32.7657 739.867 742.432 25.6106 0.521041 2416 119.022 673.247 792.269 178.661 -0.132045 -0.0358692 0.560317 0.0440227 162 4.49305 -4.49437 -0.00131911 13.3695 0.36955 0.468045 0.469949 0.201531 0.0163464 152 1.18873 -0.00946789 1.17926 26.94 25.9626 17.9071 1.45246 152 75.7961 -0.0725708 75.7236
27 85.8468 93.7084 55.3865 4.89552 128 183.062 3.59943 186.662 4.99699 4.99699 101.235 30986.4 1.27967 0.55853 3.81141 0.108193 1241 32.4683 0.0643597 32.5327 746.515 748.868 27.0369 0.767488 1241 101.001 693.383 794.384 179.314 -0.157925 -0.0394877 0.703929 0.0662201 113 4.47715 -4.47733 -0.000176805 22.5956 0.512029 1.18677 0.467623 5.45781 0.482407 128 48.1506 -0.0269265 48.1236 52.7473 41.8162 96.4375 8.52395 128 794.491 -0.111755 794.379
30 67.0063 47.0848 66.6056 7.18227 86 210.506 3.55356 214.059 4.99728 4.99728 55.59 23395.9 1.93175 0.611749 5.92218 0.193469 937 42.1986 0.204808 42.4034 907.189 908.549 48.0766 1.57059 937 170.282 820.469 990.751 127.845 -0.23473 -0.0139269 0.928462 0.146803 40 5.18734 -5.18848 -0.00113837 26.214 0.447852 0.453979 0.441326 0.118875 0.0128186 86 0.599308 0.126659 0.725967 36.0107 19.1477 41.1062 4.43259 86 132.491 0.697937 133.189
39 82.0143 73.8438 60.2679 5.66953 113 253.971 3.72333 257.695 4.9969 4.9969 83.7956 26342.2 1.59334 0.558499 4.6223 0.142309 1055 32.7008 0.20809 32.9088 762.19 765.254 28.9334 0.890785 1055 124.627 694.14 818.767 113.613 -0.254149 -0.0308963 0.960598 0.0970351 98 4.606 -4.60639 -0.000383432 34.7398 0.578579 1.43606 0.518635 6.78164 0.637963 113 57.0397 0.0976247 57.1374 56.9422 40.7986 103.683 9.75365 113 794.831 0.622498 795.454
40 63.3214 64.6713 37.6355 4.77972 62 127.079 3.70668 130.786 4.9969 4.9969 285.92 16654.3 2.09158 0.564655 5.98639 0.231794 667 36.4351 0.124581 36.5597 813.665 814.741 14.357 0.555906 667 60.1631 783.286 843.449 189.921 -0.32255 -0.0465029 1.17549 0.153036 59 7.47149 -7.47173 -0.000239813 34.0406 0.360671 0.44642 0.449131 0.12776 0.0162256 62 0.805619 -0.0906303 0.714989 27.4058 30.5994 14.6622 1.8621 62 51.9172 -0.335938 51.5812
43 93.4912 96.6898 57.966 4.64099 156 213.824 3.5429 217.367 28.2916 29.297 122.993 24968.9 0.465388 0.381036 0.224517 0.00709985 1000 1.1809 0.0706483 1.25155 867.205 860.664 30.0287 0.949591 1000 145.063 819.378 964.441 99.1896 -0.0366383 -0.0343303 0.0271763 0.00256792 112 0.104911 -0.105156 -0.000245036 5.70892 0.366484 0.417289 0.37913 0.13083 0.0104747 156 0.606633 0.170811 0.777444 41.1156 35.1487 31.7718 2.54378 156 125.455 1.01538 126.47
44 84.9676 85.5612 61.9644 5.99033 107 202.535 3.60819 206.143 5.63333 5.72262 95.1068 14881.5 1.76916 0.516146 5.47047 0.224079 596 37.5094 0.0413666 37.5508 821.389 819.496 15.0796 0.617685 596 81.6943 783.622 865.316 92.8657 -0.23571 -0.0454217 0.894605 0.0894605 100 6.68921 -6.69623 -0.00702085 33.3796 0.242733 0.353098 0.284281 0.136121 0.0131593 107 0.575676 0.127602 0.703278 24.7494 23.7411 14.7698 1.42785 107 59.902 0.814026 60.7161
45 97.8308 85.1719 55.382 4.64755 142 213.462 14.9643 228.426 4.9969 4.9969 53.3795 63570.9 1.32602 0.694362 3.99282 0.0791317 2546 41.1443 0.0223383 41.1666 899.182 897.124 56.3563 1.1169 2546 225.201 787.777 1012.98 123.224 -0.155745 -0.0447156 0.737387 0.0654325 127 5.77742 -5.77792 -0.000498464 25.3945 0.549043 0.654694 0.679221 0.132259 0.0110989 142 0.738738 0.307234 1.04597 64.456 50.0737 39.8287 3.34235 142 128.296 14.7526 143.049
47 35.4317 30.0865 26.8265 2.15475 155 117.839 3.53668 121.376 4.9969 4.9969 33.4313 33533.3 1.46913 0.487828 4.59566 0.125403 1343 34.152 0.014692 34.1667 745.09 746.662 31.075 0.847957 1343 127.041 673.248 800.289 193.726 -0.155843 -0.0364136 0.706796 0.059523 141 4.44939 -4.45018 -0.000799362 9.20296 0.439519 0.540606 0.548371 0.216589 0.0173969 155 1.13826 0 1.13826 18.6875 18.4505 12.6343 1.01481 155 50.9935 0 50.9935
